MachineID,MachineCode,MachineName,MachineType,Manufacturer,InstallationDate,Status,Location,CreatedAt,LastMaintenanceDate,DaysSinceLastMaintenance,MaintenanceOverdue
18,MCH-018,CMM Inspection Station #18,CNC Milling Machine,Electroimpact,2019-12-30,UnderMaintenance,Bay-4,2019-12-30,2025-12-27 13:43:27,4,0
19,MCH-019,Robotic Welding Cell #19,CNC Lathe,Hexagon Manufacturing,2022-04-18,Operational,Bay-11,2022-04-18,2025-09-26 14:01:35,96,0
20,MCH-020,CNC Lathe #20,Composite Layup Machine,Hexagon Manufacturing,2024-04-26,Operational,Bay-2,2024-04-26,2025-11-11 21:44:05,50,0
21,MCH-021,CNC Milling Machine #21,5-Axis CNC Machining Center,Mazak,2022-12-12,Operational,Bay-12,2022-12-12,2025-02-03 11:52:12,331,1
22,MCH-022,Automated Riveting Machine #22,Robotic Welding Cell,Fanuc,2021-04-06,Operational,Bay-1,2021-04-06,2025-07-29 04:01:57,155,0
23,MCH-023,5-Axis CNC Machining Center #23,Robotic Welding Cell,Broetje Automation,2018-02-16,Operational,Bay-12,2018-02-16,2025-12-19 01:32:45,12,0
24,MCH-024,CMM Inspection Station #24,CNC Milling Machine,Okuma,2024-06-29,Idle,Bay-11,2024-06-29,2025-06-16 12:10:40,198,1
25,MCH-025,5-Axis CNC Machining Center #25,CNC Lathe,Electroimpact,2017-09-08,Operational,Bay-5,2017-09-08,2025-10-20 17:46:02,72,0
26,MCH-026,Composite Layup Machine #26,CNC Lathe,DMG MORI,2016-09-09,Idle,Bay-3,2016-09-09,2025-11-23 07:19:48,38,0
27,MCH-027,Composite Layup Machine #27,Waterjet Cutter,Haas Automation,2018-09-09,Operational,Bay-8,2018-09-09,2025-10-10 22:28:40,82,0
28,MCH-028,Waterjet Cutter #28,Robotic Welding Cell,Haas Automation,2022-08-10,Operational,Bay-2,2022-08-10,2025-12-02 19:27:07,29,0
29,MCH-029,EDM Machine #29,Autoclave,Broetje Automation,2022-11-25,Operational,Bay-7,2022-11-25,2025-10-31 10:26:44,61,0
30,MCH-030,CMM Inspection Station #30,CMM Inspection Station,Electroimpact,2019-07-11,Operational,Bay-7,2019-07-11,2025-12-24 11:57:28,7,0
31,MCH-031,CMM Inspection Station #31,CNC Milling Machine,Electroimpact,2022-09-13,Operational,Bay-2,2022-09-13,2025-12-19 17:02:55,12,0
32,MCH-032,Laser Cutting Machine #32,Automated Riveting Machine,Okuma,2015-05-21,Operational,Bay-12,2015-05-21,2025-10-16 07:09:06,76,0
33,MCH-033,Automated Riveting Machine #33,EDM Machine,Mazak,2016-06-21,Operational,Bay-7,2016-06-21,2025-11-12 16:19:37,49,0
34,MCH-034,Automated Riveting Machine #34,Waterjet Cutter,Haas Automation,2015-10-02,Decommissioned,Bay-11,2015-10-02,2025-12-19 01:31:12,12,0
35,MCH-035,Autoclave #35,EDM Machine,Electroimpact,2023-07-29,Operational,Bay-1,2023-07-29,2025-11-18 17:31:11,43,0
